건축물동수,건축물연면적,사업장명,폐업일자,법인명,좌표X,좌표Y,문화체육업종명,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,보험가입여부코드,최종수정시점,인허가취소일자,인허가일자,소재지우편번호,지도자수,지번주소,회원모집총인원,관리번호,개방자치단체코드,공사립구분명,도로명주소,도로명우편번호,영업상태구분코드,영업상태명,휴업시작일자,휴업종료일자,소재지전화번호
,,월드,2010-06-23,,204258.587772043,461096.29696208,무도학원업,2026-04-22 22:30:54,I,03,폐업,0,2010-06-23 15:37:23,,2006-12-13,132-898,,서울특별시 도봉구 창동 7,,CDFH3301112006000001,3090000,사립,서울특별시 도봉구 마들로11가길 6-25  (창동),,03,폐업,,,
,,인조이댄스스쿨,2023-12-31,,203974.826951671,461040.287040565,무도학원업,2026-04-22 22:30:54,I,03,폐업,,2024-03-11 11:21:01,,2010-08-25,132-908,,서울특별시 도봉구 창동 333-1 한성빌딩 802호,,CDFH3301112010000001,3090000,사립,"서울특별시 도봉구 노해로65길 7-12, 802호 (창동,한성빌딩)",,03,폐업,,,
,,창동 국빈관무도학원,2017-10-26,,204354.5,461162.92,무도학원업,2026-04-22 22:30:54,I,03,폐업,,2017-10-27 17:47:45,,2012-11-14,132-898,,서울특별시 도봉구 창동 10-1,,CDFH3301112012000001,3090000,사립,"서울특별시 도봉구 노해로69길 15-15, 지하2층 1호 (창동, 점보빌딩)",,03,폐업,,,
1,3866,명동무도학원,2015-04-09,,204317.264907404,461224.014056627,무도학원업,2026-04-22 22:30:54,I,03,폐업,Y,2015-04-09 15:03:03,,2015-02-09,132-898,1,서울특별시 도봉구 창동 13 7층,,CDFH3301112015000001,3090000,사립,서울특별시 도봉구 마들로11길 65 (창동),,03,폐업,,,02-907-1571
,,한국무도학원,2007-07-23,,205439.320706497,461335.356566932,무도학원업,2026-04-22 22:30:14,I,03,폐업,0,2007-07-23 16:18:03,,1993-02-15,139-832,,서울특별시 노원구 상계동 724-1,,CDFH3301111993000001,3100000,사립,서울특별시 노원구 노해로 490  (상계동),,03,폐업,,,
0,0,국제무도학원,2002-11-13,,205033.4545,461328.8365,무도학원업,2026-04-22 22:30:14,I,03,폐업,,2003-02-21 10:29:10,,1999-11-16,139-942,0,서울특별시 노원구 상계동 704-1 2층,,CDFH3301111999000001,3100000,사립,"서울특별시 노원구 노해로75길 14-8  (상계동,2층)",,03,폐업,,,
,,황선우댄스스쿨,2005-10-05,,205083.989500329,461342.980917319,무도학원업,2026-04-22 22:30:14,I,03,폐업,0,2006-02-07 11:02:53,,2001-02-27,139-942,,서울특별시 노원구 상계동 708-0 3층,,CDFH3301112001000001,3100000,사립,"서울특별시 노원구 노해로75길 14-18  (상계동,3층)",,03,폐업,,,
,,김세일댄스아카데미학원,2005-02-04,,205039.048055954,461358.969219933,무도학원업,2026-04-22 22:30:14,I,03,폐업,0,2006-02-07 10:40:43,,2001-09-27,139-942,,서울특별시 노원구 상계동 703-2 5층 501호,,CDFH3301112001000002,3100000,사립,"서울특별시 노원구 노해로75길 14-9  (상계동,5층 501호)",,03,폐업,,,
0,0,현대무도학원,1999-11-16,,193903.333435372,456197.927159351,무도학원업,2026-04-22 23:12:07,I,03,폐업,,2003-04-17 19:25:48,,1992-08-26,122-831,0,서울특별시 은평구 녹번동 117-112,,CDFH3301111992000001,3110000,사립,서울특별시 은평구 통일로 697  (녹번동),,03,폐업,,,
,,불광무도학원,2005-11-16,,193692.22840469,456582.4567796,무도학원업,2026-04-22 23:12:08,I,03,폐업,0,2006-01-05 09:38:18,,1992-10-26,122-858,,서울특별시 은평구 불광동 274-19,,CDFH3301111992000002,3110000,사립,,,03,폐업,,,
