사업장명,폐업일자,좌표X,좌표Y,데이터갱신시점,데이터갱신구분,상세영업상태코드,상세영업상태명,비상시설위치,시설명건물명,시설구분명,최종수정시점,인허가취소일자,인허가일자,소재지면적,지번주소,관리번호,개방자치단체코드,해제일자,도로명주소,도로명우편번호,영업상태구분코드,영업상태명
상도근린공원(상도동 531-15),,195568.561031778,443436.423420202,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 상도동 531번지 15호,상도근린공원(상도동 531-15),지자체시설,2025-10-01 11:07:27,,2018-11-27,106,서울특별시 동작구 상도동 531번지 15호,3190000-E201800003,3190000,,,,01,영업/정상
노량진배수지,,195829.337883432,445722.770801951,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 본동 258번지 1호 본동시민공원,노량진배수지,공공용시설,2025-12-22 16:13:11,,2019-01-30,301,서울특별시 동작구 본동 258번지 1호 본동시민공원,3190000-E201900001,3190000,,"서울특별시 동작구 노량진로 247, 본동시민공원 (본동)",06902,01,영업/정상
대방배수지,,193517.57455392,445030.749662199,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 대방동 350번지 5호 노량진근린공원,대방배수지,공공용시설,2025-12-22 16:18:20,,2019-01-30,164,서울특별시 동작구 대방동 350번지 5호 노량진근린공원,3190000-E201900002,3190000,,"서울특별시 동작구 여의대방로36길 71, 노량진근린공원 (대방동)",06944,01,영업/정상
상도배수지,,195898.163128843,445119.996994792,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 본동 126번지 450호 노량진근린공원,상도배수지,공공용시설,2025-07-23 16:11:07,,2019-01-30,82,서울특별시 동작구 본동 126번지 450호 노량진근린공원,3190000-E201900003,3190000,,"서울특별시 동작구 매봉로6길 16, 노량진근린공원 (본동)",06912,01,영업/정상
봉천6-2배수지,,196585.234775259,442278.255048568,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 사당동 산 32번지 85호 서울환경지킴이,봉천6-2배수지,공공용시설,2025-07-23 16:10:11,,2019-01-30,7,서울특별시 동작구 사당동 산 32번지 85호 서울환경지킴이,3190000-E201900004,3190000,,"서울특별시 동작구 솔밭로 45-5, 서울환경지킴이 (사당동)",07031,01,영업/정상
백련 배수지,2026-04-09,193802.724798524,453093.819015569,2026-04-26 22:31:37,I,19,사용중지,서울특별시 서대문구 홍은동 26번지 157호,백련 배수지,공공용시설,2026-04-14 17:28:22,2026-04-09,2019-12-26,110,서울특별시 서대문구 홍은동 26번지 157호,3120000-E201900002,3120000,2026-04-09,서울특별시 서대문구 모래내로 303-25 (홍은동),03657,04,취소/말소/만료/정지/중지
능안 배수지,2026-04-09,195389.505358003,451964.530015163,2026-04-26 22:31:37,I,19,사용중지,서울특별시 서대문구 봉원동 38번지,능안 배수지,공공용시설,2026-04-14 17:28:32,2026-04-09,2019-12-26,16,서울특별시 서대문구 봉원동 38번지,3120000-E201900003,3120000,2026-04-09,서울특별시 서대문구 봉원사길 96-93 (봉원동),03721,04,취소/말소/만료/정지/중지
홍은 배수지,2026-04-09,194668.470642854,454962.142084574,2026-04-26 22:31:37,I,19,사용중지,서울특별시 서대문구 홍은동 1번지 551호,홍은 배수지,공공용시설,2026-04-14 17:28:41,2026-04-09,2019-12-26,34,서울특별시 서대문구 홍은동 1번지 551호,3120000-E201900004,3120000,2026-04-09,서울특별시 서대문구 통일로48나길 33 (홍은동),03614,04,취소/말소/만료/정지/중지
북악터널 배수지,2026-04-09,195988.163865411,454782.230959227,2026-04-26 22:31:37,I,19,사용중지,서울특별시 서대문구 홍제동 1번지 189호,북악터널 배수지,공공용시설,2026-04-14 17:28:51,2026-04-09,2019-12-26,397,서울특별시 서대문구 홍제동 1번지 189호,3120000-E201900005,3120000,2026-04-09,서울특별시 서대문구 세검정로 168 (홍제동),03620,04,취소/말소/만료/정지/중지
사당3배수지,,197016.099276811,443479.478752315,2026-04-26 22:31:07,I,18,사용중,서울특별시 동작구 사당동 산 22-1,사당3배수지,공공용시설,2025-07-23 16:12:05,,2019-01-30,3,서울특별시 동작구 사당동 산 22-1,3190000-E201900005,3190000,,서울특별시 동작구 사당로23길 278 (사당동),06989,01,영업/정상
